ID,Vendor,Wine,Region,Country,Vintage,Category,Vendor Wines,Size,Alcohol Volume,Slug,wineType,grapeVarieties,Sweetness,Freshness,Texture,fruitNotes,herbalNotes,mineralNotes,nuttyNotes,ageingNotes,Distributor,Cost ex Vat,Suggested Price,List Price,Barcode,SKU,Handle,Tags,Backorder,Name (from Distributor),Name (from Vendor),Vendor ID (from Vendor),Wine Count
84,Tenuta San Guido,Le Difese,Toscana,Italija,2022,Rdeče,2,750,"13,50%",tenuta-san-guido-le-difese-2022-750ml,Rdeče,"Cabernet Sauvignon,Sangiovese",0,,,,,,,,EVino,"€20,00","€31,72","26,99",,40058002,tenuta-san-guido-le-difese-2022-750ml,"Rdeče,Toscana,Italija",checked,EVino,Tenuta San Guido,0058,002
85,E.Guigal,Crozes-Hermitage,Val de Rhone,Francija,2021,Rdeče,2,750,"13,00%",e.guigal-crozes-hermitage-2021-750ml,Rdeče,Syrah,0,,,,,,,,EVino,"€18,00","€28,55","24,99",3536650801003,40019002,e.guigal-crozes-hermitage-2021-750ml,"Rdeče,Val de Rhone,Francija",checked,EVino,E.Guigal,0019,002
86,Tilia,"Pinot Noir, Estate",Vipavska Dolina,Slovenija,2021,Rdeče,1,750,"13,50%",tilia-pinot-noir-estate-2021-750ml,Rdeče,Pinot Noir,0,,,,,,,,EVino,"€17,90","€28,39","24,99",3830021660160,40060001,tilia-pinot-noir-estate-2021-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,EVino,Tilia,0060,001
87,Vietti,"Langhe Nebbiolo, Perbacco",Piemonte,Italija,2021,Rdeče,2,750,"14,00%",vietti-langhe-nebbiolo-perbacco-2021-750ml,Rdeče,Nebbiolo,0,,,,,,,,EVino,"€18,30","€29,02","24,99",8030198002564,40065002,vietti-langhe-nebbiolo-perbacco-2021-750ml,"Rdeče,Piemonte,Italija",checked,EVino,Vietti,0065,002
88,Pasji Rep,Jebačin,Vipavska Dolina,Slovenija,2022,Rdeče,1,750,"14,00%",pasji-rep-jebacin-2022-750ml,Rdeče,"Cabernet Franc,Merlot",0,,,,,,,,EVino,"€17,50","€27,76","23,99",3830059970026,40048001,pasji-rep-jebacin-2022-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,EVino,Pasji Rep,0048,001
89,Zaro,Folo Rosso,Istra,Slovenija,2018,Rdeče,2,750,"14,50%",zaro-folo-rosso-2018-750ml,Rdeče,"Merlot,Cabernet Sauvignon",0,,,,,,,,Koželj,"€16,94","€26,87","26,99",3830028885825,40068002,zaro-folo-rosso-2018-750ml,"Rdeče,Istra,Slovenija",checked,Koželj,Zaro,0068,002
90,Pieropan,Ruberpan,Veneto,Italija,2021,Rdeče,2,750,"14,00%",pieropan-ruberpan-2021-750ml,Rdeče,"Corvina,Rondinella,Croatina",1,,,,,,,,EVino,"€16,00","€25,38","21,99",8023352000261,40050002,pieropan-ruberpan-2021-750ml,"Rdeče,Veneto,Italija",checked,EVino,Pieropan,0050,002
91,Clarendelle,Rouge,Bordeaux,Francija,2016,Rdeče,1,750,"13,50%",clarendelle-rouge-2016-750ml,Rdeče,"Merlot,Cabernet Franc,Cabernet Sauvignon",0,,,,,,,,EVino,"€14,40","€22,84","19,99",3760136219949,40014001,clarendelle-rouge-2016-750ml,"Rdeče,Bordeaux,Francija",checked,EVino,Clarendelle,0014,001
92,Štoka,Carsus,Kras,Slovenija,2017,Rdeče,1,750,"13,00%",stoka-carsus-2017-750ml,Rdeče,"Refosco,Cabernet Sauvignon",0,,,,,,,,Koželj,"€14,09","€22,35","23,99",3830019540108,40054001,stoka-carsus-2017-750ml,"Rdeče,Kras,Slovenija",checked,Koželj,Štoka,0054,001
93,Sturm,Cabernet Franc,Collio-Friuli,Italija,2021,Rdeče,3,750,"13,00%",sturm-cabernet-franc-2021-750ml,Rdeče,Cabernet Franc,0,,,,,,,,EVino,"€14,40","€22,84","19,99",3831002400751,40055003,sturm-cabernet-franc-2021-750ml,"Rdeče,Collio-Friuli,Italija",checked,EVino,Sturm,0055,003
94,Tua Rita,Rosso dei Notri,Toscana,Italija,2022,Rdeče,1,750,"14,00%",tua-rita-rosso-dei-notri-2022-750ml,Rdeče,"Sangiovese,Cabernet Sauvignon,Merlot,Syrah",0,,,,,,,,EVino,"€14,20","€22,52","19,99",8033481328105,40063001,tua-rita-rosso-dei-notri-2022-750ml,"Rdeče,Toscana,Italija",checked,EVino,Tua Rita,0063,001
95,Butul,"Refošk, Boškarin",Istra,Slovenija,2022,Rdeče,2,750,"15,00%",butul-refosk-boskarin-2022-750ml,Rdeče,Refosco,0,,,,,,,,Butul,"€12,00","€19,03","17,99",,40006002,butul-refosk-boskarin-2022-750ml,"Rdeče,Istra,Slovenija",checked,Butul,Butul,0006,002
96,Elena Walch,Pinot Nero,Alto Adige,Italija,2024,Rdeče,2,750,"13,00%",elena-walch-pinot-nero-2024-750ml,Rdeče,Pinot Noir,0,,,,,,,,EVino,"€12,70","€20,14","17,99",8000905004792,40022002,elena-walch-pinot-nero-2024-750ml,"Rdeče,Alto Adige,Italija",checked,EVino,Elena Walch,0022,002
97,Santomas,Syrah,Istra,Slovenija,2016,Rdeče,3,750,"13,50%",santomas-syrah-2016-750ml,Rdeče,Syrah,0,,,,,,,,Koželj,"€10,79","€17,11","18,99",3830041090084,40053003,santomas-syrah-2016-750ml,"Rdeče,Istra,Slovenija",checked,Koželj,Santomas,0053,003
98,Montemoro,Kingly Refosco,Istra,Slovenija,2019,Rdeče,3,750,"14,00%",montemoro-kingly-refosco-2019-750ml,Rdeče,Refosco,0,,,,,,,,Montemoro,"€8,00","€12,69","14,99",3830046510013,40043003,montemoro-kingly-refosco-2019-750ml,"Rdeče,Istra,Slovenija",checked,Montemoro,Montemoro,0043,003
99,Korenika-Moškon,Refošk,Istra,Slovenija,2020,Rdeče,2,750,"13,00%",korenika-moskon-refosk-2020-750ml,Rdeče,Refosco,0,,,,,,,,Koželj,"€8,34","€13,23","13,99",3830022300010,40032002,korenika-moskon-refosk-2020-750ml,"Rdeče,Istra,Slovenija",checked,Koželj,Korenika-Moškon,0032,002
100,E.Guigal,Cotes du Rhone,Val de Rhone,Francija,2020,Rdeče,1,750,"15,00%",e.guigal-cotes-du-rhone-2020-750ml,Rdeče,"Syrah,Grenache,Mourvedre",0,,,,,,,,EVino,"€8,90","€14,12","11,99",3536650501002,40019001,e.guigal-cotes-du-rhone-2020-750ml,"Rdeče,Val de Rhone,Francija",checked,EVino,E.Guigal,0019,001
